name	chrom	strand	txStart	txEnd
ENSG00000106013	7	+	117864730	117882743
ENSG00000106018	7	-	158820866	158937649
ENSG00000106025	7	-	120427376	120498411
ENSG00000106028	7	+	141438407	141450261
ENSG00000106031	7	-	27234637	27239725
ENSG00000106034	7	+	120628731	120937498
ENSG00000106038	7	+	27282164	27287046
ENSG00000106049	7	-	27565061	27702614
ENSG00000106052	7	+	27779808	27868880
ENSG00000106066	7	-	29035253	29234892
ENSG00000106069	7	+	29234028	29553944
ENSG00000106070	7	-	50657760	50800050
ENSG00000106077	7	-	73150424	73153197
ENSG00000106078	7	-	51083909	51384496
ENSG00000106080	7	-	30050203	30066300
ENSG00000106086	7	+	30068029	30119543
ENSG00000106089	7	-	73113536	73133988
ENSG00000106100	7	-	30464143	30518396
ENSG00000106105	7	+	30634297	30673649
ENSG00000106113	7	-	30692863	30739719
ENSG00000106123	7	+	142552792	142568847
ENSG00000106125	7	+	30811033	30932002
ENSG00000106128	7	+	31003638	31019143
ENSG00000106144	7	+	142985308	143004789
ENSG00000106153	7	-	56169262	56174269
ENSG00000106178	7	-	75440983	75452674
ENSG00000106211	7	+	75931861	75933612
ENSG00000106236	7	+	98246609	98259180
ENSG00000106244	7	-	98992586	99006452
ENSG00000106245	7	+	99006264	99017239
ENSG00000106246	7	-	99017372	99063787
ENSG00000106258	7	-	99245817	99277619
ENSG00000106261	7	+	99613204	99639312
ENSG00000106263	7	+	2394501	2420378
ENSG00000106266	7	-	2291405	2354099
ENSG00000106268	7	+	2281857	2290780
ENSG00000106278	7	+	121513143	121702090
ENSG00000106290	7	-	99704791	99717464
ENSG00000106299	7	-	123321989	123389121
ENSG00000106302	7	+	123485223	123517532
ENSG00000106304	7	+	123565368	123611468
ENSG00000106305	7	+	6048876	6063465
ENSG00000106327	7	-	100218043	100240344
ENSG00000106328	7	+	127233689	127242198
ENSG00000106330	7	+	100210133	100213007
ENSG00000106331	7	-	127250346	127255780
ENSG00000106333	7	+	100199800	100205798
ENSG00000106336	7	+	100187252	100198740
ENSG00000106341	7	+	31726329	31748069
ENSG00000106344	7	-	127937738	127983962
ENSG00000106346	7	+	6144515	6201195
ENSG00000106348	7	-	128032331	128050306
ENSG00000106351	7	+	100136848	100165842
ENSG00000106355	7	-	32524951	32530030
ENSG00000106366	7	+	100770370	100782547
ENSG00000106367	7	+	100797678	100804558
ENSG00000106384	7	-	100838288	100844302
ENSG00000106392	7	+	7222246	7288251
ENSG00000106397	7	-	100849258	100860954
ENSG00000106399	7	-	7676149	7758238
ENSG00000106400	7	+	100860949	100867471
ENSG00000106404	7	-	100875373	100882101
ENSG00000106410	7	-	144094333	144107320
ENSG00000106415	7	+	8008425	8128710
ENSG00000106436	7	-	101256605	101272576
ENSG00000106443	7	+	11013499	11143282
ENSG00000106459	7	+	129251555	129396920
ENSG00000106460	7	+	12250926	12282993
ENSG00000106462	7	-	148504477	148581370
ENSG00000106477	7	-	130033612	130081078
ENSG00000106479	7	+	149535456	149564568
ENSG00000106483	7	-	37945543	37956517
ENSG00000106484	7	+	130131934	130146133
ENSG00000106511	7	-	15650837	15726437
ENSG00000106524	7	-	16639401	16685442
ENSG00000106526	7	-	149944302	150020758
ENSG00000106536	7	+	39017598	39504390
ENSG00000106537	7	+	16793160	16824161
ENSG00000106538	7	-	150035447	150038732
ENSG00000106541	7	-	16831435	16844704
ENSG00000106546	7	+	17338246	17385774
ENSG00000106554	7	-	132469629	132766842
ENSG00000106560	7	+	150382788	150390729
ENSG00000106565	7	-	150488375	150498448
ENSG00000106571	7	-	42000548	42276612
ENSG00000106588	7	-	42956460	42971822
ENSG00000106591	7	+	42971799	42977456
ENSG00000106603	7	-	43678856	43689895
ENSG00000106605	7	+	43798286	43846939
ENSG00000106608	7	-	43915514	43946668
ENSG00000106609	7	+	66386212	66423538
ENSG00000106615	7	-	151163098	151217010
ENSG00000106617	7	-	151253197	151574210
ENSG00000106624	7	+	44143960	44154159
ENSG00000106628	7	-	44154286	44163107
ENSG00000106631	7	-	44178463	44180931
ENSG00000106633	7	-	44183877	44198881
ENSG00000106635	7	-	72950686	72972332
ENSG00000106636	7	+	44240648	44253893
ENSG00000106638	7	-	72983262	72993121
ENSG00000106648	7	+	151653480	151717019
ENSG00000106665	7	+	73703805	73820273
ENSG00000106682	7	+	73588575	73611431
ENSG00000106683	7	+	73498270	73536855
ENSG00000106686	9	-	4600610	4666666
ENSG00000106688	9	+	4490444	4587469
ENSG00000106689	9	+	126773889	126795580
ENSG00000106692	9	+	108320411	108403399
ENSG00000106701	9	+	108210383	108308856
ENSG00000106714	9	-	39072764	39288135
ENSG00000106723	9	+	91003334	91093609
ENSG00000106733	9	-	77676116	77703125
ENSG00000106771	9	-	111777432	111882225
ENSG00000106772	9	-	79226293	79521003
ENSG00000106780	9	-	123363091	123476748
ENSG00000106785	9	-	100846637	100881480
ENSG00000106789	9	-	100883257	100935166
ENSG00000106799	9	+	101867371	101916474
ENSG00000106803	9	+	101984583	101992897
ENSG00000106804	9	-	123714616	123812554
ENSG00000106809	9	-	95146249	95166841
ENSG00000106819	9	-	95218487	95244788
ENSG00000106823	9	-	95257594	95298337
ENSG00000106829	9	+	82186688	82340414
ENSG00000106852	9	-	124964857	124991124
ENSG00000106853	9	-	114325247	114362135
ENSG00000106868	9	-	114803065	114937688
ENSG00000106927	9	-	116822407	116840752
ENSG00000106948	9	-	117096436	117156685
ENSG00000106952	9	-	117665124	117692697
ENSG00000106976	9	+	130965658	131017527
ENSG00000106991	9	-	130577291	130617035
ENSG00000106992	9	-	130628759	130640022
ENSG00000106993	9	+	4679566	4708398
ENSG00000107014	9	-	5299868	5304969
ENSG00000107018	9	-	5334969	5339873
ENSG00000107020	9	-	5357973	5437878
ENSG00000107021	9	+	131549483	131572711
ENSG00000107036	9	+	5629119	5776557
ENSG00000107077	9	+	6757656	7175648
ENSG00000107099	9	+	214865	465255
ENSG00000107104	9	+	470291	746105
ENSG00000107105	9	-	23690105	23826063
ENSG00000107130	9	+	132934857	132999583
ENSG00000107140	9	+	35605367	35610029
ENSG00000107147	9	+	138594038	138684949
ENSG00000107159	9	+	35673853	35681156
ENSG00000107164	9	+	133454993	133513739
ENSG00000107165	9	+	12693435	12710290
ENSG00000107175	9	+	35732332	35737001
ENSG00000107185	9	+	35749284	35758572
ENSG00000107186	9	-	13105709	13279563
ENSG00000107187	9	-	139088096	139095004
ENSG00000107201	9	-	32455703	32526322
ENSG00000107223	9	-	139756571	139760738
ENSG00000107242	9	+	71320616	71624091
ENSG00000107249	9	-	3827698	4299916
ENSG00000107262	9	-	33252477	33264759
ENSG00000107263	9	-	134452158	134585229
ENSG00000107281	9	-	139933922	139940655
ENSG00000107282	9	-	72042446	72287222
ENSG00000107290	9	-	135136743	135230372
ENSG00000107295	9	+	17579121	17797127
ENSG00000107317	9	+	139871957	139876190
ENSG00000107331	9	-	139901686	139922642
ENSG00000107338	9	-	37919131	38069208
ENSG00000107341	9	+	33817565	33920402
ENSG00000107362	9	-	74477368	74525847
ENSG00000107371	9	-	37779711	37785054
ENSG00000107372	9	-	74966341	74980163
ENSG00000107404	1	-	1270656	1284492
ENSG00000107438	10	-	96997329	97050781
ENSG00000107443	10	+	97803340	97819345
ENSG00000107447	10	+	98064153	98098321
ENSG00000107485	10	+	8096656	8117161
ENSG00000107518	10	+	116853384	117708503
ENSG00000107521	10	-	100175955	100206683
ENSG00000107537	10	-	13319800	13342101
ENSG00000107551	10	+	45455240	45491339
ENSG00000107554	10	-	101635334	101769676
ENSG00000107560	10	-	119764427	119806114
ENSG00000107562	10	-	44872612	44880497
ENSG00000107566	10	-	101909851	101948091
ENSG00000107581	10	-	120794356	120840316
ENSG00000107593	10	-	102047911	102090243
ENSG00000107611	10	-	16865963	17171830
ENSG00000107614	10	-	17188736	17243681
ENSG00000107618	10	-	48381487	48390991
ENSG00000107623	10	-	48425815	48438976
ENSG00000107625	10	+	70661034	70706603
ENSG00000107643	10	+	49514733	49647403
ENSG00000107651	10	+	121652223	121701658
ENSG00000107669	10	-	123499939	123687551
ENSG00000107672	10	-	123716603	123734732
ENSG00000107679	10	+	124134212	124191867
ENSG00000107719	10	+	72238577	72328205
ENSG00000107731	10	+	72972327	73062621
ENSG00000107736	10	+	73555528	73575702
ENSG00000107738	10	-	73507316	73533255
ENSG00000107742	10	-	73818793	73848531
ENSG00000107745	10	-	74127098	74385863
ENSG00000107758	10	-	75196564	75255782
ENSG00000107771	10	+	86088419	86278273
ENSG00000107779	10	+	88516407	88692595
ENSG00000107789	10	+	89264632	89313145
ENSG00000107796	10	-	90694833	90751147
ENSG00000107798	10	-	90973326	91011815
ENSG00000107807	10	+	102889257	102897545
ENSG00000107815	10	+	102747783	102754158
ENSG00000107816	10	+	102759233	102767593
ENSG00000107819	10	+	102790996	102800997
ENSG00000107821	10	+	102821598	102825349
ENSG00000107829	10	-	103370423	103455016
ENSG00000107831	10	-	103530081	103535716
ENSG00000107833	10	-	103541082	103543170
ENSG00000107854	10	+	93558069	93625033
ENSG00000107859	10	-	103989943	104001231
ENSG00000107862	10	+	104005289	104142656
ENSG00000107863	10	-	24872538	25012597
ENSG00000107864	10	-	93809388	94050844
ENSG00000107872	10	+	104179571	104182893
ENSG00000107874	10	-	104183002	104192418
ENSG00000107882	10	+	104263744	104393292
ENSG00000107890	10	-	27293227	27389421
ENSG00000107897	10	-	27484146	27529744
ENSG00000107902	10	+	126150404	126302710
ENSG00000107929	10	-	855484	931702
ENSG00000107937	10	+	1034338	1065876
ENSG00000107938	10	+	127408145	127452220
ENSG00000107949	10	+	127512115	127542264
ENSG00000107951	10	-	30598730	30638248
ENSG00000107954	10	+	105253736	105352309
ENSG00000107957	10	-	105353786	105615164
ENSG00000107959	10	-	3179922	3215003
ENSG00000107960	10	-	105642300	105677963
ENSG00000107968	10	+	30722866	30750761
ENSG00000107984	10	+	54074056	54077417
ENSG00000108001	10	-	131633547	131762105
ENSG00000108010	10	+	131934663	131978640
ENSG00000108018	10	-	108336964	108924284
ENSG00000108021	10	+	5726801	5805703
ENSG00000108039	10	-	111624524	111683311
ENSG00000108055	10	+	112327449	112364394
ENSG00000108061	10	+	112679305	112773425
ENSG00000108064	10	+	60144782	60158981
ENSG00000108091	10	-	61548521	61666414
ENSG00000108094	10	-	35299220	35363216
ENSG00000108100	10	+	35625802	35860852
ENSG00000108106	19	-	55912652	55919145
ENSG00000108107	19	+	55897300	55903171
ENSG00000108175	10	+	80828792	81076276
ENSG00000108176	10	-	69556427	69597922
ENSG00000108179	10	+	81107234	81115093
ENSG00000108187	10	-	70042417	70092684
ENSG00000108219	10	+	82213922	82292879
ENSG00000108231	10	+	95517642	95557916
ENSG00000108239	10	+	96162261	96295687
ENSG00000108242	10	+	96443378	96495947
ENSG00000108244	17	-	39078948	39093672
ENSG00000108255	17	+	27573881	27581501
ENSG00000108256	17	-	27582854	27621136
ENSG00000108262	17	-	27900493	27916567
ENSG00000108264	17	+	35766965	35839835
ENSG00000108270	17	+	35306175	35414171
ENSG00000108272	17	+	34948228	34957235
ENSG00000108278	17	+	34842479	34851666
ENSG00000108292	17	+	36861795	36886056
ENSG00000108294	17	+	36908989	36920484
ENSG00000108296	17	-	36956687	36981734
ENSG00000108298	17	+	37356536	37360980
ENSG00000108306	17	-	37416840	37557916
ENSG00000108309	17	+	42385927	42396039
ENSG00000108312	17	-	42282401	42298994
ENSG00000108342	17	+	38171697	38174066
ENSG00000108344	17	+	38137050	38154213
ENSG00000108349	17	+	38296576	38328436
ENSG00000108352	17	+	38334242	38351906
ENSG00000108370	17	+	63133592	63223808
ENSG00000108375	17	-	56431037	56494894
ENSG00000108379	17	-	44839872	44896126
ENSG00000108381	17	+	3379296	3406713
ENSG00000108384	17	+	56769934	56811703
ENSG00000108387	17	-	56597619	56618179
ENSG00000108389	17	-	56566898	56595266
ENSG00000108395	17	-	57075563	57184082
ENSG00000108405	17	-	3799886	3819794
ENSG00000108406	17	+	57642886	57685706
ENSG00000108417	17	-	39577005	39580775
ENSG00000108423	17	-	57936851	57970296
ENSG00000108424	17	+	45727204	45762871
ENSG00000108433	17	+	45000528	45018161
ENSG00000108439	17	+	46018937	46025654
ENSG00000108443	17	+	57970525	58027925
ENSG00000108448	17	+	18601323	18639431
ENSG00000108465	17	+	46048407	46059107
ENSG00000108468	17	-	46147414	46178560
ENSG00000108469	17	-	73622934	73663269
ENSG00000108474	17	+	16120524	16229573
ENSG00000108479	17	-	73754025	73761792
ENSG00000108506	17	-	59942731	60005377
ENSG00000108509	17	-	4871292	4890407
ENSG00000108510	17	-	60019966	60142643
ENSG00000108511	17	-	46671639	46682354
ENSG00000108515	17	+	4854390	4860426
ENSG00000108518	17	-	4848947	4852309
ENSG00000108523	17	+	4843423	4848517
ENSG00000108528	17	-	4840425	4843546
ENSG00000108551	17	-	17397751	17399707
ENSG00000108556	17	-	4801069	4806369
ENSG00000108557	17	+	17584787	17714767
ENSG00000108559	17	-	5289346	5323480
ENSG00000108561	17	-	5336097	5342475
ENSG00000108576	17	-	28521337	28563020
ENSG00000108578	17	-	28575218	28619012
ENSG00000108582	17	+	28705923	28797007
ENSG00000108587	17	+	28804380	28854610
ENSG00000108588	17	-	61822610	61851135
ENSG00000108590	17	-	6546635	6554954
ENSG00000108591	17	+	17991200	18011285
ENSG00000108592	17	-	61896793	61905031
ENSG00000108599	17	-	19807615	19881150
ENSG00000108602	17	-	19641301	19648772
ENSG00000108604	17	-	61909444	61920300
ENSG00000108622	17	-	62079956	62097994
ENSG00000108639	17	+	76164639	76169608
ENSG00000108641	17	-	19246483	19266026
ENSG00000108651	17	-	30187923	30228784
ENSG00000108654	17	-	62495734	62502639
ENSG00000108666	17	-	30658381	30669208
ENSG00000108669	17	-	76670130	76778376
ENSG00000108671	17	+	30771279	30810336
ENSG00000108679	17	-	76967320	76976191
ENSG00000108684	17	-	31340105	31620006
ENSG00000108688	17	+	32597240	32599261
ENSG00000108691	17	+	32582304	32584222
ENSG00000108700	17	+	32646055	32648421
ENSG00000108702	17	-	32687347	32690250
ENSG00000108733	17	-	33901814	33905648
ENSG00000108753	17	-	36046435	36105237
ENSG00000108759	17	-	39616063	39623681
ENSG00000108771	17	-	40253422	40264751
ENSG00000108773	17	-	40265126	40273376
ENSG00000108774	17	-	40277685	40307006
ENSG00000108784	17	+	40688190	40696467
ENSG00000108786	17	+	40701232	40707231
ENSG00000108788	17	+	40719090	40725257
ENSG00000108797	17	+	40834631	40851832
ENSG00000108798	17	+	47287589	47300587
ENSG00000108799	17	-	40852293	40897048
ENSG00000108813	17	+	48046538	48052321
ENSG00000108819	17	-	48211104	48227877
ENSG00000108821	17	-	48260650	48278993
ENSG00000108823	17	+	48243366	48253292
ENSG00000108825	17	-	41102567	41132545
ENSG00000108826	17	-	48445228	48450575
ENSG00000108828	17	-	41166622	41174435
ENSG00000108829	17	-	48458599	48474914
ENSG00000108830	17	+	41177258	41181245
ENSG00000108839	17	+	6899384	6914055
ENSG00000108840	17	-	42154114	42201006
ENSG00000108846	17	+	48712218	48769613
ENSG00000108848	17	+	48796905	48833574
ENSG00000108849	17	-	42018173	42019642
ENSG00000108852	17	-	41952725	41985113
ENSG00000108854	17	-	62541483	62658186
ENSG00000108861	17	-	41843489	41856356
ENSG00000108878	17	+	65040706	65052909
ENSG00000108883	17	-	42927311	42977030
ENSG00000108924	17	+	53342373	53402426
ENSG00000108932	17	-	66263167	66287257
ENSG00000108946	17	+	66508568	66529572
ENSG00000108947	17	+	7608520	7614696
ENSG00000108950	17	-	66533012	66597530
ENSG00000108953	17	-	1247566	1303672
ENSG00000108960	17	-	53469974	53499353
ENSG00000108961	17	+	8191815	8193410
ENSG00000108963	17	+	1933404	1946724
ENSG00000108984	17	+	67410839	67539472
ENSG00000109016	17	+	21029965	21095343
ENSG00000109046	17	+	25621106	25640657
ENSG00000109047	17	-	9799637	9808938
ENSG00000109061	17	-	10395624	10421860
ENSG00000109062	17	+	72744791	72765492
ENSG00000109063	17	-	10531844	10560626
ENSG00000109065	17	-	72766686	72772470
ENSG00000109066	17	+	72772622	72835918
ENSG00000109072	17	-	26694297	26697843
ENSG00000109079	17	+	26662730	26674035
ENSG00000109083	17	-	26655355	26662475
ENSG00000109084	17	+	26646121	26655707
ENSG00000109089	17	+	72983727	73001895
ENSG00000109099	17	-	15133095	15165906
ENSG00000109101	17	+	26850959	26865914
ENSG00000109103	17	-	26873725	26879686
ENSG00000109107	17	-	26900133	26904282
ENSG00000109111	17	+	26989109	27029697
ENSG00000109113	17	-	27041299	27045286
ENSG00000109118	17	-	27232268	27278789
ENSG00000109132	4	-	41746099	41750987
ENSG00000109133	4	+	41937137	41962589
ENSG00000109158	4	-	46920917	46996424
ENSG00000109163	4	-	68605046	68620078
ENSG00000109171	4	+	48343339	48428229
ENSG00000109180	4	+	48833101	48863217
ENSG00000109181	4	+	69681711	69696914
ENSG00000109182	4	+	48988264	49064096
ENSG00000109184	4	+	52709229	52783003
ENSG00000109189	4	-	53457138	53525502
ENSG00000109193	4	-	70706930	70725870
ENSG00000109205	4	+	71062213	71070293
ENSG00000109208	4	+	71226478	71232875
ENSG00000109220	4	-	54875956	54930857
ENSG00000109255	4	-	56461398	56502465
ENSG00000109265	4	+	57138570	57194791
ENSG00000109270	4	-	100799493	100815647
ENSG00000109272	4	+	74718906	74719872
ENSG00000109320	4	+	103422486	103538459
ENSG00000109321	4	+	75310851	75320726
ENSG00000109323	4	-	103553050	103682151
ENSG00000109332	4	-	103718514	103790053
ENSG00000109339	4	-	86937631	87281216
ENSG00000109381	4	-	139978374	140098372
ENSG00000109390	4	-	140211071	140222364
ENSG00000109424	4	-	141480588	141489959
ENSG00000109436	4	-	141541919	141677274
ENSG00000109445	4	+	142142041	142155851
ENSG00000109452	4	-	142944313	143767443
ENSG00000109458	4	+	144257915	144395721
ENSG00000109466	4	+	166131045	166243610
ENSG00000109471	4	-	123372625	123377880
ENSG00000109472	4	+	166300094	166419472
ENSG00000109475	4	+	109541812	109551568
ENSG00000109501	4	+	6271577	6304992
ENSG00000109511	4	+	169013666	169108841
ENSG00000109519	4	-	7060633	7069924
ENSG00000109534	4	+	110736709	110745893
ENSG00000109536	4	+	190861943	190884359
ENSG00000109572	4	+	170541677	170641696
ENSG00000109576	4	-	170981373	171011118
ENSG00000109586	4	+	174089904	174245118
ENSG00000109606	4	-	24529098	24586173
ENSG00000109610	4	+	24797085	24802464
ENSG00000109618	4	-	25121636	25162064
ENSG00000109625	4	+	8594387	8621478
ENSG00000109654	4	+	154125618	154260472
ENSG00000109667	4	-	9827848	10023107
ENSG00000109670	4	-	153242410	153457253
ENSG00000109674	4	+	178230990	178284097
ENSG00000109680	4	+	26585538	26756973
ENSG00000109684	4	-	10488019	10686489
ENSG00000109685	4	+	1894572	1983934
ENSG00000109686	4	-	152041433	152147660
ENSG00000109689	4	+	26862463	27025588
ENSG00000109705	4	-	13542454	13546674
ENSG00000109736	4	-	2932295	2936185
ENSG00000109738	4	+	157997209	158093242
ENSG00000109743	4	+	15704573	15733796
ENSG00000109756	4	+	160188889	160281321
ENSG00000109758	4	+	3443614	3451211
ENSG00000109762	4	+	186125391	186285125
ENSG00000109771	4	-	186285033	186300152
ENSG00000109775	4	-	186321443	186347139
ENSG00000109787	4	+	38665817	38702663
ENSG00000109790	4	+	39063852	39122825
ENSG00000109794	4	+	187065995	187093821
ENSG00000109805	4	+	17812525	17846485
ENSG00000109814	4	-	39500375	39529238
ENSG00000109819	4	-	23793644	23891700
ENSG00000109832	11	+	125774258	125793005
ENSG00000109846	11	-	111779347	111784573
ENSG00000109851	11	-	20177760	20181870
ENSG00000109854	11	+	20385289	20405328
ENSG00000109861	11	-	88026760	88070955
ENSG00000109881	11	-	27360061	27385415
ENSG00000109906	11	+	113930315	114121398
ENSG00000109911	11	+	31531297	31805546
ENSG00000109917	11	-	116648436	116658766
ENSG00000109919	11	-	47638868	47664175
ENSG00000109920	11	-	47738072	47788853
ENSG00000109927	11	+	120971882	121062202
ENSG00000109929	11	+	121163162	121179403
ENSG00000109943	11	+	122709208	122743347
ENSG00000109944	11	+	122753473	122830429
ENSG00000109956	11	-	134251539	134262247
ENSG00000109971	11	-	122928197	122933043
ENSG00000109991	11	+	57105991	57138073
ENSG00000110002	11	+	123986069	124018428
ENSG00000110011	11	+	63997750	64001753
ENSG00000110013	11	-	124503009	124543777
ENSG00000110025	11	+	64794880	64808044
ENSG00000110031	11	-	58294344	58345639
ENSG00000110042	11	+	58939965	58976060
ENSG00000110046	11	-	64662018	64684720
ENSG00000110047	11	-	64619114	64646191
ENSG00000110048	11	-	59341871	59383617
ENSG00000110057	11	-	67758575	67771593
ENSG00000110060	11	-	125763381	125773116
ENSG00000110063	11	+	126173647	126215644
ENSG00000110066	11	-	67922330	67980882
ENSG00000110074	11	+	126139028	126148019
ENSG00000110075	11	+	68228238	68382799
ENSG00000110076	11	-	64373648	64490660
ENSG00000110077	11	-	59939970	59950696
ENSG00000110079	11	+	60048059	60076445
ENSG00000110080	11	+	126275677	126284533
ENSG00000110090	11	-	68522357	68609384
ENSG00000110092	11	+	69455855	69469242
ENSG00000110104	11	+	60609544	60618554
ENSG00000110107	11	-	60658202	60674060
ENSG00000110108	11	+	60681346	60690915
ENSG00000110148	11	+	6280966	6293357
ENSG00000110169	11	-	6452279	6462294
ENSG00000110171	11	-	6469844	6495689
ENSG00000110172	11	-	89934328	89956532
ENSG00000110195	11	+	71901258	71907342
ENSG00000110200	11	-	71820633	71823826
ENSG00000110203	11	+	71846771	71850934
ENSG00000110218	11	+	93862094	93915138
ENSG00000110237	11	+	73019334	73080136
ENSG00000110243	11	-	116660089	116663136
ENSG00000110244	11	-	116691419	116694022
ENSG00000110245	11	+	116700608	116703788
ENSG00000110274	11	+	117198571	117283984
ENSG00000110315	11	-	10533225	10562764
ENSG00000110318	11	+	101785746	101871789
ENSG00000110321	11	-	10818597	10829520
ENSG00000110324	11	+	117857063	117872194
ENSG00000110328	11	-	11292423	11643552
ENSG00000110330	11	+	102217966	102249401
ENSG00000110344	11	+	118230359	118269922
ENSG00000110367	11	-	118620034	118661845
ENSG00000110375	11	+	118827026	118829269
ENSG00000110395	11	+	119076752	119178859
ENSG00000110400	11	-	119531702	119599794
ENSG00000110422	11	+	33279133	33378569
ENSG00000110427	11	+	33563821	33695648
ENSG00000110429	11	-	33762492	33796062
ENSG00000110435	11	+	34938119	35017518
ENSG00000110436	11	-	35272753	35440796
ENSG00000110442	11	-	36295051	36310979
ENSG00000110446	11	-	60704556	60719257
ENSG00000110448	11	+	60869867	60895324
ENSG00000110455	11	+	44087818	44105764
ENSG00000110484	11	+	62037627	62040628
ENSG00000110492	11	+	46402306	46405349
ENSG00000110497	11	-	46417964	46612914
ENSG00000110514	11	+	47291225	47351582
ENSG00000110536	11	+	47587153	47593321
ENSG00000110583	11	+	63706468	63724800
ENSG00000110619	11	-	3022152	3078667
ENSG00000110628	11	+	2923650	2946476
ENSG00000110651	11	+	2398524	2418649
ENSG00000110660	11	-	107661717	107729914
ENSG00000110665	11	-	2318403	2323143
ENSG00000110675	11	+	107461956	107537505
ENSG00000110680	11	-	14990047	14993900
ENSG00000110693	11	-	15987995	16497935
ENSG00000110696	11	+	16759948	16777770
ENSG00000110697	11	-	67259240	67272843
ENSG00000110700	11	-	17095936	17099334
ENSG00000110711	11	+	67250512	67258574
ENSG00000110713	11	-	3696240	3819022
ENSG00000110717	11	+	67798094	67804111
ENSG00000110719	11	+	67806483	67818362
ENSG00000110721	11	-	67820326	67888671
ENSG00000110723	11	-	108376158	108464374
ENSG00000110756	11	-	18300606	18343721
ENSG00000110768	11	+	18344143	18388591
ENSG00000110777	11	-	111222977	111250417
ENSG00000110786	11	-	18749475	18813389
ENSG00000110799	12	-	6058040	6233841
ENSG00000110801	12	+	122326637	122356203
ENSG00000110811	12	+	6937572	6949018
ENSG00000110841	12	+	27677139	27848497
ENSG00000110844	12	+	50017219	50038448
ENSG00000110848	12	-	9905082	9913497
ENSG00000110851	12	-	108126643	108154937
ENSG00000110852	12	-	10005583	10022735
ENSG00000110871	12	-	120941077	120966985
ENSG00000110876	12	-	109016605	109025854
ENSG00000110880	12	-	109038885	109125372
ENSG00000110881	12	+	50451331	50477394
ENSG00000110887	12	+	109273806	109294819
ENSG00000110888	12	-	30862487	30907448
ENSG00000110900	12	+	31079892	31149534
ENSG00000110906	12	-	109886461	109915349
ENSG00000110911	12	-	51379775	51422058
ENSG00000110917	12	+	121124672	121139667
ENSG00000110921	12	+	110011617	110035067
ENSG00000110925	12	-	51454990	51477333
ENSG00000110931	12	-	121675500	121736111
ENSG00000110934	12	-	51674822	51717948
ENSG00000110944	12	+	56732663	56734193
ENSG00000110955	12	-	57031959	57039798
ENSG00000110958	12	-	57057127	57082084
ENSG00000110975	12	-	33527173	33592754
ENSG00000110987	12	+	122457328	122499948
ENSG00000111011	12	-	122989190	123011546
ENSG00000111012	12	-	58156122	58161034
ENSG00000111046	12	+	81101277	81103253
ENSG00000111049	12	+	81110691	81113452
ENSG00000111052	12	-	81186299	81331704
ENSG00000111057	12	+	53342748	53346685
ENSG00000111058	12	+	81470990	81650533
ENSG00000111077	12	+	53442733	53458155
ENSG00000111087	12	+	57853921	57866045
ENSG00000111110	12	-	63037762	63328817
ENSG00000111142	12	+	95867727	95909615
ENSG00000111144	12	-	96394606	96429439
ENSG00000111145	12	+	96588160	96663613
ENSG00000111181	12	-	299252	323689
ENSG00000111186	12	+	1738363	1756409
ENSG00000111196	12	-	10758612	10766222
ENSG00000111199	12	-	110220890	110252696
ENSG00000111203	12	+	2921788	2934237
ENSG00000111206	12	-	2966849	2986152
ENSG00000111215	12	-	10998448	11002074
ENSG00000111218	12	+	3600402	3703139
ENSG00000111224	12	-	3918027	3982540
ENSG00000111229	12	-	110872630	110888212
ENSG00000111231	12	-	110890292	110906526
ENSG00000111237	12	-	110929328	110939904
ENSG00000111241	12	-	4543309	4554780
ENSG00000111245	12	-	111348623	111358381
ENSG00000111247	12	+	4648056	4669213
ENSG00000111249	12	+	111471828	111788358
ENSG00000111252	12	+	111843752	111889427
ENSG00000111254	12	-	4724674	4758213
ENSG00000111261	12	-	12482198	12503475
ENSG00000111262	12	+	5019071	5027413
ENSG00000111266	12	-	12628829	12715317
ENSG00000111269	12	+	12764826	12798042
ENSG00000111271	12	+	112123880	112194898
ENSG00000111275	12	+	112204726	112247782
ENSG00000111276	12	+	12870058	12875305
ENSG00000111291	12	-	13093709	13103318
ENSG00000111300	12	-	112464500	112546826
ENSG00000111305	12	-	13237757	13256579
ENSG00000111319	12	-	6456009	6484390
ENSG00000111321	12	+	6493199	6500729
ENSG00000111325	12	+	123459127	123464589
ENSG00000111328	12	-	123745528	123756687
ENSG00000111331	12	+	113376157	113411054
ENSG00000111335	12	+	113416200	113449528
ENSG00000111339	12	-	14978503	14996429
ENSG00000111341	12	-	15034832	15038791
ENSG00000111344	12	-	113536624	113574029
ENSG00000111348	12	-	15094951	15114603
ENSG00000111358	12	+	124118376	124147153
ENSG00000111361	12	-	124104953	124118313
ENSG00000111364	12	+	124086646	124105488
ENSG00000111371	12	-	46576846	46662795
ENSG00000111404	12	-	18233803	18243127
ENSG00000111405	12	-	48103528	48119319
ENSG00000111412	12	-	117153593	117175866
ENSG00000111424	12	-	48236411	48298786
ENSG00000111432	12	+	130647004	130650284
ENSG00000111445	12	+	118454515	118469597
ENSG00000111450	12	-	131275379	131323739
ENSG00000111452	12	+	131438452	131625792
ENSG00000111481	12	+	54718911	54745633
ENSG00000111490	12	+	65218352	65269568
ENSG00000111530	12	+	67663061	67713731
ENSG00000111536	12	-	68595131	68619601
ENSG00000111537	12	-	68548548	68553527
ENSG00000111540	12	+	56367795	56388489
